run,size,ratio,sampling_time_s,total_time_s
1,500,1.3054637029171097,6.665961099999549,6.880403299999671
2,500,1.241745107433549,6.440132800000356,6.579480100001092
3,500,1.1206766081745259,6.690470799998366,6.894792499999312
4,500,1.147185039638965,6.503577199999199,6.7596154999991995
5,500,1.156401090271186,6.141471900000397,6.241715199999817
6,500,1.656587420995837,6.432827000000543,6.541695699999764
7,500,1.301294157832216,6.290464300000167,6.433643300000767
8,500,1.3016880134523057,6.49086090000128,6.674000000000888
9,500,1.1352783136206965,6.290682000000743,6.3639188000015565
10,500,1.3121176930537675,6.3353987999998935,6.454474500000288
11,500,1.2449408304143954,6.281072300000233,6.485861499999373
12,500,1.1319997302724016,6.420239200000651,6.525257700001021
13,500,1.163250554112488,6.418502399999852,6.550391800001307
14,500,1.1647733681880688,6.691386899999998,6.970670500000779
15,500,1.2914522555033756,6.817894599998908,6.9873472999988735
16,500,1.2501620382795353,7.310522200001287,7.456024500001149
17,500,1.3765708979045979,6.30177939999885,6.442954799998915
18,500,1.2264118538746935,6.591690899998866,6.804012799999327
19,500,1.230256845579536,6.909291200001462,7.114696700000422
20,500,1.2715445956370084,6.743303600000218,6.918285800000376
21,500,1.1249491606466404,6.924172199998793,7.068508299998939
1,1000,1.0901417310242536,6.971208099999785,7.285207500000979
2,1000,1.0874599747170322,7.12731789999998,7.383458599999358
3,1000,1.074591285323959,7.323850400000083,7.521378299999924
4,1000,1.0671021569627863,7.096578000000591,7.379626500000086
5,1000,1.1735450305334998,6.357165999999779,6.65507450000041
6,1000,1.0773429633302507,7.306407000000036,7.543774699999631
7,1000,1.0807660667295234,7.363837000000785,7.728128099999594
8,1000,1.0856478507850715,6.978009899999961,7.2768381999994745
9,1000,1.0576256762340277,6.79054030000043,7.059709999999541
10,1000,1.0782829616864,6.562313999998878,6.744670099998984
11,1000,1.0530895286616058,6.780464000001302,7.041242500001317
12,1000,1.1064515848081942,8.228296400000545,8.413700300001437
13,1000,1.0558830464654931,6.394541699999536,6.636562799998501
14,1000,1.0672516995951467,8.545501100001275,8.885311400001228
15,1000,1.189587729314475,6.3826914000001125,6.711789500001032
16,1000,1.0759705599323333,6.559200600000622,6.8410882000007405
17,1000,1.157320238596501,7.580249900000126,7.84950790000039
18,1000,1.0891250414593645,7.075174899999183,7.386716799999704
19,1000,1.0570383220201558,7.852164000001721,8.136002300001564
20,1000,1.045212993846787,7.330432400000063,7.572381900001346
21,1000,1.1261394226355157,6.661998399998993,6.883864600000379
1,1500,1.0380033414853174,6.950548300001174,7.46341460000076
2,1500,1.0497895801094699,6.805650899999819,7.1586468999994395
3,1500,1.0411664033147054,7.041466500000752,7.576412900001742
4,1500,1.0447923414286282,7.360885000000053,7.6672219000010955
5,1500,1.04350379728511,7.3294120999998995,7.650471899998593
6,1500,1.0646037240183506,6.892948799999431,7.286841299999651
7,1500,1.0357345584347057,6.989943300000959,7.400050800000827
8,1500,1.04467621107226,6.920442299999195,7.388526400000046
9,1500,1.0246670832455935,7.079240900000514,7.537854099999095
10,1500,1.0425801973949471,6.817084599999362,7.3508571999991545
11,1500,1.0310233791716412,6.683601400000043,7.049156800001583
12,1500,1.0631496798183802,7.731708700001036,7.981882800000676
13,1500,1.026417588934528,7.519039199998588,8.042877500000031
14,1500,1.0374594317450658,6.830796599999303,7.1110168999985035
15,1500,1.0243129684165317,6.874779600000693,7.233353699999498
16,1500,1.0464158473935374,7.759385899998961,8.062262399998872
17,1500,1.026893554269173,7.658179000000018,8.100539299999582
18,1500,1.0256686327181261,7.250170600000274,7.725225300000602
19,1500,1.040333810533732,6.831138400000782,7.168219900000622
20,1500,1.0342362264016245,6.8402194999998756,7.111419400000159
21,1500,1.042866516664066,7.888956399998278,8.347430399999212
1,2000,1.027707479553975,7.426671500001248,7.805175000001327
2,2000,1.0211657074719784,8.146999999999025,8.709700299999895
3,2000,1.0347227421101088,6.5026877999989665,6.965014299999893
4,2000,1.0309037938903947,7.776906799999779,8.346617299999707
5,2000,1.0232545976414726,6.424833700000818,7.016272900000331
6,2000,1.0137181951459637,6.91011509999953,7.6739550000002055
7,2000,1.0568025609905043,6.740274000001591,7.6339287999999215
8,2000,1.0315957982080792,6.84145720000015,7.4214423000012175
9,2000,1.0323488284950322,6.695471399998496,7.290629899998748
10,2000,1.0190985040425007,6.480232199999591,6.877690799999982
11,2000,1.0431776934093206,6.586186700000326,7.166746400000193
12,2000,1.020407119281491,8.367468000000372,8.889962900000683
13,2000,1.0164734405143578,6.762902000000395,7.085670000000391
14,2000,1.0260087529324509,7.672767099998964,8.299188699998922
15,2000,1.0188595986991742,6.171596899999713,6.6439336000003095
16,2000,1.0300508928461476,7.170792000000802,7.514381000000867
17,2000,1.0119589290817126,7.636628099999143,8.220942799998738
18,2000,1.0168761704453013,7.2633668999988,8.048485599998457
19,2000,1.0186667068087711,6.713636899999983,7.281953900001099
20,2000,1.030002217223239,6.809494500001165,7.25550210000074
21,2000,1.0297922016806407,7.382275699999809,7.9029964999990625
1,2500,1.0278339155385285,6.638837100001183,7.309730500001024
2,2500,1.0195390671020006,7.262539699999252,7.849544099999548
3,2500,1.0216226196699205,7.017362999999023,7.746854099999837
4,2500,1.0200844789546013,7.607121500001085,8.263588200001323
5,2500,1.0261097437339726,6.764291499999672,7.630519800000911
6,2500,1.0227401918565255,7.673343600001317,8.348065199999837
7,2500,1.0174866437327699,6.660585999999967,7.24985629999901
8,2500,1.0113220989123568,6.381765000000087,7.124110300001121
9,2500,1.0174616631246487,7.2982876999994915,8.135162599999603
10,2500,1.0182006945441415,7.16835269999865,7.889242299999751
11,2500,1.0324449955534039,7.643368199998804,8.220775599998888
12,2500,1.027731257954407,7.541954500000429,8.437472200001139
13,2500,1.0243682122321665,6.518705899999986,7.162780499998917
14,2500,1.0112943433160124,7.258148699998856,7.668127599999934
15,2500,1.0176133159314389,7.253236799999286,7.591848000000027
16,2500,1.02583909702248,8.170739799999865,8.640652500000215
17,2500,1.0213047164455082,6.951614699999482,7.671854800000801
18,2500,1.0226549998963443,8.219858899999963,9.113667999999961
19,2500,1.0100357368030108,7.7338094000006095,8.248332700000901
20,2500,1.025157429772131,6.965114200000244,7.475996999999552
21,2500,1.0293104668760114,7.341430700000274,7.8255355000001146
1,3000,1.0339388718468452,7.102910900001007,7.915733199999522
2,3000,1.0125399132219481,7.311679799999183,7.874929400000838
3,3000,1.0127838298825464,7.0042474000001675,7.818772099999478
4,3000,1.0146157801771283,7.254464100000405,8.495589400001336
5,3000,1.0130622315199787,7.052905800001099,7.7770500000005995
6,3000,1.0122955699131024,7.10089010000047,7.671275200000309
7,3000,1.016725706966806,6.946520599998621,7.611535799998819
8,3000,1.017996113415364,7.230441699999574,7.93237869999939
9,3000,1.0239256382592998,7.743053000000145,8.536669900000561
10,3000,1.0111914592609335,7.746567000000141,8.585232100000212
11,3000,1.0127233455412201,7.144792000000962,7.716261700001269
12,3000,1.0219008469127102,7.898130600000513,8.78964359999918
13,3000,1.0075445787461392,7.45979620000071,8.11103440000079
14,3000,1.0203632346373108,6.8882097999994585,7.747340599999006
15,3000,1.0156034516249155,6.745402399999875,7.743604100000084
16,3000,1.0155035004446509,6.856642999999167,7.516354299999875
17,3000,1.0193944460995001,7.207708100000673,7.794406900000467
18,3000,1.0128583021318887,6.58183260000078,7.669417000000976
19,3000,1.0168664124130813,7.207278700001552,7.914356500001304
20,3000,1.0125084769130213,7.030398300001252,7.570165900000575
21,3000,1.0147462202912283,7.175274499999432,7.771879199999603
1,3500,1.011638488204821,7.313685299999634,7.933084600001166
2,3500,1.0138043463048247,6.928264500000296,8.088005600000542
