run,size,ratio,sampling_time_s,total_time_s
1,500,1.1689261308650691,6.6477734000000055,6.665854099999706
2,500,1.1512126873474215,7.7663885000001756,7.792039900000418
3,500,1.226956829239119,6.44945000000007,6.46935669999948
4,500,1.1336274630662202,7.7118341000004875,7.730111200000465
5,500,1.216554937649434,8.032889199999772,8.067641099999491
6,500,1.209539338291066,6.385459300000548,6.406980300000214
7,500,1.4966748103316228,7.636959700000261,7.665011500000219
8,500,1.1410089462101565,6.5142329999998765,6.528567700000167
9,500,1.129678466522857,7.236058700000285,7.267824800000199
10,500,1.2317223427192634,7.026515799999288,7.046867799999745
11,500,1.229252400337977,6.970650399999613,6.996654800000215
12,500,1.4186035778069328,6.760102999999617,6.784810500000276
13,500,1.1892490771709652,6.630529500000193,6.665496399999938
14,500,1.311050784257243,6.615611899999749,6.642092199999752
15,500,1.1486436645025866,6.9954630000002,7.012861000000157
16,500,1.1885922446424122,7.065052399999331,7.087679299999763
17,500,1.2166038675448967,8.202592999999979,8.22269899999992
18,500,1.1185687779323001,6.540563999999904,6.556523799999923
19,500,1.2158993749972975,6.997838999999658,7.019145000000208
20,500,1.191482345051343,7.543422099999589,7.568497899999784
21,500,1.2286598752403248,8.43990500000018,8.464053400000012
1,1000,1.0598256603807106,7.0858932000001005,7.109086999999818
2,1000,1.038248119417308,6.32510050000019,6.340863600000375
3,1000,1.0749472828854247,7.453854600000341,7.477713100000074
4,1000,1.0605301294844196,8.514539499999955,8.552517699999953
5,1000,1.0503395923934238,7.219650699999875,7.240176400000564
6,1000,1.062622020897576,8.678293099999792,8.700668899999982
7,1000,1.056258636137503,6.681487400000151,6.702278099999603
8,1000,1.0526392469745833,6.674418599999626,6.692920100000265
9,1000,1.047719484043134,7.320599800000309,7.353160800000296
10,1000,1.0579868012547053,6.376002800000606,6.394952700000431
11,1000,1.0434652648985723,7.864747900000111,7.8861243000001195
12,1000,1.054340919349324,6.817624799999976,6.837943300000006
13,1000,1.0701474458006381,6.435519700000441,6.47048679999989
14,1000,1.0890880916458163,6.990356000000247,7.034782300000188
