run,size,ratio,sampling_time_s,total_time_s
1,500,1.3706738346640543,1.3929086999996798,1.4960172999999486
2,500,2.0476032089927654,1.0738199000006716,2.5586347000007663
3,500,1.8002000212893556,1.1192322000006243,2.3945247999999992
4,500,1.3118145086645645,1.047509899999568,1.1418983999992633
5,500,1.091029995473059,1.0531931000004988,1.111905100000513
6,500,1.5996025049628266,1.0477539999992587,1.9444158999995125
7,500,1.9160809775726924,1.0540313000001333,1.7271352000007028
8,500,2.0444405573980426,1.056149000000005,2.7865906999995786
9,500,2.1573110959363593,1.1048271999989083,1.4053043999992951
10,500,1.3227387207546972,1.0816015999989759,1.1298229999993055
11,500,1.5674587741980484,1.0586151999996218,1.2732496000007814
12,500,1.8631425768887833,1.0454241999996157,1.285406500001045
13,500,2.1691305647462973,1.0699704000016936,1.5935630000003584
14,500,1.3709934483676254,1.022045599998819,1.1186709999983577
15,500,1.9370959528909368,1.0705259999995178,1.9927330999998958
16,500,1.282084096011061,1.0403333000012935,1.1037239000015688
17,500,1.7864629569180381,1.0614871000016137,1.9951450000007753
18,500,1.927218810650684,1.0381087999994634,1.4406920999990689
19,500,1.2436632129201663,1.072981900000741,1.3152021000005334
20,500,1.4091674804218843,1.0509796000005736,1.2521293000008882
21,500,1.5862843405832414,1.0339929000001575,1.3959182999988116
1,1000,1.1748963082264623,1.04332500000055,1.451549299999897
2,1000,1.081661492053655,1.048628500000632,1.1424067000007199
3,1000,1.4002700550808673,1.0502219999998488,2.2116721000002144
4,1000,1.1199354115976015,1.077360299999782,1.1528579000005266
5,1000,1.1476806347757096,1.0367309999983263,1.5359190999988641
6,1000,1.1209333612628751,1.0454939999999624,1.1134025999999722
7,1000,1.1591286711287982,1.0335279000009905,1.1350834000004397
8,1000,1.0754370514022906,1.038005599999451,1.1153933000005054
9,1000,1.080490144465988,1.0427471999992122,1.0935069999995903
10,1000,1.3204812341384324,1.0729305000004388,1.3260900999994192
11,1000,1.1648871235327047,1.035178399999495,1.2992398000005778
12,1000,1.1557063132076277,1.014825899999778,2.2768310999999812
13,1000,1.3182162637116828,1.0411119000000326,1.3017644999999902
14,1000,1.175199514931338,1.0322352000002866,1.0881628000006458
15,1000,1.2349404200594103,1.040247900000395,1.4281068000000232
16,1000,1.1899669441559244,1.0478739000009227,1.2932877000002918
17,1000,1.1353323168092218,1.0549175999985891,2.069392399998833
18,1000,1.3618896353791567,1.0552643999999418,2.7944411000007676
19,1000,1.2168929671505844,1.0782878000009077,1.183560999999827
20,1000,1.091645091456628,1.078090199998769,1.3406751999991684
21,1000,1.171805685005209,1.053721800000858,1.8304034000011598
1,1500,1.0543424403899961,1.170207000001028,1.44171070000084
2,1500,1.1224865082522009,1.1531756000003952,1.398877599998741
3,1500,1.144292143924971,1.076273399999991,1.8481353999995918
4,1500,1.0830080091723007,1.0546200000007957,1.2370274000004429
5,1500,1.0995648970681628,1.0567620000001625,1.4147002000008797
6,1500,1.0924154627849962,1.0484957999997278,1.772076900000684
7,1500,1.1164849601350206,1.0471233000007487,1.7660938000008173
8,1500,1.0969017670051935,1.0394992000001366,1.2745188000008056
9,1500,1.122515647226125,1.044034600001396,1.609740600000805
10,1500,1.1217710503210605,1.0421979000002466,2.112004099999467
11,1500,1.170532877929471,1.0324168000006466,1.2929007000002457
12,1500,1.0901942574178338,1.0382441000001563,1.2343534999999974
13,1500,1.0902500738986267,1.0521936000004644,1.1472606000006635
14,1500,1.1076649791783875,1.0385590000005323,1.4131890999997267
15,1500,1.1182407336371745,1.052139100000204,1.2460754999992787
16,1500,1.145212716703288,1.0419092000011005,1.2401900000004389
17,1500,1.1196293672415958,1.0401753000005556,2.164200200000778
18,1500,1.0796681536649697,1.0461345000003348,1.1265094000009412
19,1500,1.1315535883578578,1.0391546999999264,1.227023100000224
20,1500,1.0897403229313767,1.0502476999990904,1.8780771999990975
21,1500,1.1187405333258205,1.0848020999983419,1.7247923999984778
1,2000,1.0873247828947843,1.0485110000008717,2.179361300000892
2,2000,1.08218692278594,1.0533120000000054,1.4158303000003798
3,2000,1.0906415403083418,1.065017799999623,1.2576821999991807
4,2000,1.0664327913646359,1.0515111000004254,1.1461385000002338
5,2000,1.0852919100798764,1.0331868000012037,1.9646699000004446
6,2000,1.1173602698347163,1.0523904999990918,1.9827549999990879
7,2000,1.1058504664953637,1.044461899999078,2.045300599998882
8,2000,1.0696406128040201,1.0557069000005868,1.3166006999999809
9,2000,1.072004251573517,1.100785700000415,1.2015802000005351
10,2000,1.1134841441207037,1.035369000001083,1.868244400000549
11,2000,1.0717016283423293,1.1274149999990186,1.3492767999996431
12,2000,1.0581890555137856,1.0573626000004879,1.1209629000004497
13,2000,1.06440627557915,1.051211299998613,1.8369223999998212
14,2000,1.1521849578086871,1.048833700000614,1.4448781000010058
15,2000,1.0580245945592484,1.0297236000005796,1.4869724999989558
16,2000,1.0755635235981569,1.0575704000002588,1.1263906999993196
17,2000,1.0514266753321229,1.0551073000006,1.9885695000011765
18,2000,1.0791223942400638,1.0614531000010174,1.8056354000000283
19,2000,1.1300821948701627,1.0439494000002014,1.8856259000003774
20,2000,1.0608115222532961,1.041351099998792,1.8190467000003991
21,2000,1.0451753168961648,1.0466137999992497,1.129619499999535
1,2500,1.0591118380469582,1.0225286999993841,1.5828803999993397
2,2500,1.0583356671742663,1.0489831999984744,1.3416287000000011
3,2500,1.0840169581611059,1.0299582000006922,1.5343061000003217
4,2500,1.0546117221123572,1.0481432999986282,1.1352913999999146
5,2500,1.0592506660439762,1.0602731999988464,1.280731699998796
6,2500,1.0536342197892141,1.050911399999677,1.698899299999539
7,2500,1.0569046038341166,1.0604906999997183,1.3459330999994563
8,2500,1.0715687922781438,1.0505487999998877,1.7284820999993826
