run,ratio,sampling_time_s,total_time_s
1,1.0100192891209636,2.200000380980782e-06,0.33970360000057553
2,1.010607404663215,1.5999994502635673e-06,0.34390739999980724
3,1.0076597904052573,1.7000002117129043e-06,0.3464278999999806
4,1.0245670070906296,1.5000005078036338e-06,0.3512123000000429
5,1.0071598540821383,1.5999994502635673e-06,0.34221679999973276
6,1.00837159110898,1.7000002117129043e-06,0.34512829999948735
7,1.0095521699839496,1.8000009731622413e-06,0.3416035999998712
8,1.0193377904712335,1.5000005078036338e-06,0.349996300001294
9,1.0100769332980413,1.6000012692529708e-06,0.34207140000034997
10,1.006965116935136,1.7999991541728377e-06,0.35445609999987937
11,1.0099632421507572,1.3999997463542968e-06,0.34363440000015544
12,1.012025222879618,2.099999619531445e-06,0.34288550000019313
13,1.0077165702498525,2.0000006770715117e-06,0.3431670000009035
14,1.0132056537447505,1.5999994502635673e-06,0.34132119999958377
15,1.0056098137338978,1.7000002117129043e-06,0.34207619999870076
16,1.0154678444309482,1.5999994502635673e-06,0.342727899998863
17,1.0057965866817258,1.3999997463542968e-06,0.34113649999926565
18,1.0100281348543954,2.0000006770715117e-06,0.345092300000033
19,1.0080467628063356,1.6999983927235007e-06,0.3419138999997813
20,1.0067853840377385,1.7000002117129043e-06,0.3404677999988053
21,1.0125000445531684,1.6000012692529708e-06,0.3478771999998571
