run,size,ratio,sampling_time_s,total_time_s
1,1000,10.726743780798317,5.703462699999363,6.830409199999849
2,1000,7.225176345242369,5.447195200000351,6.157448599999043
3,1000,4.140783917876585,5.392788600000131,6.584257000000434
4,1000,2.1791355326153607,6.055552499999976,6.763356899999053
5,1000,4.301082398865581,6.0477209000000585,7.865107199999329
6,1000,1437.1148730964921,5.326602000001003,12.74643660000038
7,1000,1826.595706029026,5.436459200000172,8.106563299999834
8,1000,6.53659949355248,6.057428599999184,8.117488299998513
9,1000,6.918577815051101,6.110322799999267,7.318184399999154
10,1000,9.126217524629622,6.126949900000909,7.587638299999526
11,1000,1242.2471164433348,5.377351999999519,12.15743939999993
12,1000,2.22926319010234,6.274827500001265,7.280742000000828
13,1000,115.52381331616216,6.408702900000208,8.477566999999908
14,1000,4.555497890515525,6.2678359000001365,8.188460600000326
15,1000,203.60801037922954,5.762571900000694,7.1719037999992
16,1000,8.639179143032317,5.59850329999972,6.195709400000851
17,1000,16895.629160724577,6.0873902000003,6.534661600000618
18,1000,1.5092862438379018,6.123550399999658,7.163187800000742
19,1000,5.04189375506448,5.93504109999958,7.705455499999516
20,1000,4.296106163171272,5.600864699999875,6.692468999999619
21,1000,296.2170814200455,5.837889799999175,7.584387999999308
1,2000,2.748095611118873,5.921894299999622,6.94241570000122
2,2000,2.695534280048795,5.674539300000106,6.859264400000029
3,2000,1.557697210236129,5.50335989999985,6.816917000000103
4,2000,1.498919026889936,5.82504549999976,6.704762800000026
5,2000,1.624522501132021,5.642829599999459,6.372456600000078
6,2000,2.8952021044492606,5.439902500000244,6.8225829000002705
7,2000,5.897584833525749,5.388307799999893,6.9169633999990765
8,2000,1.7667664073541132,6.165265699999509,7.082664300000033
9,2000,9.05291073886343,6.0598315999995975,7.3973537999991095
10,2000,3.8585063580996657,5.56668400000126,8.55416839999998
11,2000,1.3650145544519003,5.322779300000548,6.380989499999487
12,2000,1.9901598591575185,5.923971899999742,6.850510199999917
13,2000,1.982202530439291,6.055514499999845,7.768639699999767
14,2000,2.663431120097213,5.63528419999966,6.38132349999978
15,2000,2.9321687949604516,5.904358699999648,7.685292299998764
16,2000,1.946945958189155,6.547741899999892,7.634426100001292
17,2000,1.5629033572525535,6.4666992999991635,7.454962399999204
18,2000,3.654980325402872,5.597023700000136,7.164112899999964
19,2000,1.9826051122429837,5.849471800000174,7.2268632000013895
20,2000,2.13992002765133,6.232940800000506,6.871239399999467
21,2000,6.345425021677996,5.8886954999998125,7.375969400000031
1,3000,1.3068740725699621,6.122526099999959,6.8926411000011285
2,3000,1.3036946697797451,5.971315599999798,6.998394399999597
3,3000,2.460155991282599,6.00161769999977,7.518846199998734
4,3000,1.111222643187942,5.585946999999578,6.283677999999782
5,3000,1.8794214506394091,6.280631699999503,7.592225399999734
6,3000,2.428331133375008,6.743885500000033,8.486992300000566
7,3000,1.3517356073602709,6.373815099999774,7.551695099999051
