run,size,ratio,sampling_time_s,total_time_s
1,1000,1.148575773187444,7.235590199999933,7.250593299999309
2,1000,1.2263745778756416,7.338152399999672,7.353654200000165
3,1000,1.142325392058276,5.398413900000378,5.413704599999619
4,1000,1.2678772690784492,5.376659999999902,5.393574900001113
5,1000,1.152028734210749,6.3171378999995795,6.333481399999073
6,1000,1.1958717174677709,6.284955300001457,6.300264400000742
7,1000,1.2920465542372244,7.013085600001432,7.044435100000555
8,1000,1.1660342416965697,7.173593499999697,7.195439699999042
9,1000,1.1969061267796872,5.2716182000003755,5.287419800000862
10,1000,1.1138545191833353,5.810415399999329,5.828456600000209
11,1000,1.1195843495936608,5.17279520000011,5.187396999999692
12,1000,1.0870346163985287,6.68942270000116,6.715422000001126
13,1000,1.0917947917954032,6.0868083000004845,6.098689399999785
14,1000,1.2886055919971395,5.1936468000003515,5.209852300000421
15,1000,1.1738528774465637,5.56711169999835,5.5844827000000805
16,1000,1.2579850028267328,5.504032900000311,5.519907300000341
17,1000,1.1202154482273474,8.15761829999974,8.171045200000663
18,1000,1.319066297226404,8.005145999999513,8.021589300000414
19,1000,1.2056903690763803,5.123454700000366,5.138729399999647
20,1000,1.131405779561957,5.357106899999053,5.369518599998628
21,1000,1.1033361128383026,5.213748800000758,5.229497000000265
1,2000,1.0954144901648084,5.470886799999789,5.494227299999693
2,2000,1.0888597007075393,6.564223200000924,6.587739000000511
3,2000,1.0974117242250165,6.5947050000013405,6.618617100000847
4,2000,1.0426814813895477,5.377751500000159,5.398920800000269
5,2000,1.0724201170965892,5.907500499999514,5.935825200000181
6,2000,1.0500059718616337,7.624836099999811,7.653344399999696
7,2000,1.1149583655195863,7.033064600000216,7.059708599999794
8,2000,1.0434507287732302,5.602412300000651,5.637337599999228
9,2000,1.0601170671727498,5.30253840000114,5.3415272000002005
10,2000,1.0631229335566603,7.093709200000376,7.1150999999990745
11,2000,1.1060308284843965,5.3047112000003835,5.324688400000014
12,2000,1.1004736492352065,5.2396078999991005,5.266080100000181
13,2000,1.074428313152659,7.2055088999986765,7.241156299998693
14,2000,1.0759556215578912,6.985313299999689,7.004550300000119
15,2000,1.0535258444294857,6.359533200000442,6.37731949999943
16,2000,1.0553960136236504,5.233598900000288,5.2516321999992215
17,2000,1.0318522564342312,5.168162500000108,5.194011799998407
18,2000,1.0526682992581957,5.252435799999148,5.273737299999993
19,2000,1.0806577248794549,6.316400199999407,6.339459000000716
20,2000,1.1141244765292497,5.072007900000244,5.097057900000436
21,2000,1.0896448902434437,7.042308699999921,7.06764320000002
1,3000,1.0605513683479206,6.054558300000281,6.082867700000861
2,3000,1.028950420788273,5.184438399999635,5.21285970000099
3,3000,1.0403773272117334,5.423668100000214,5.466565799999444
4,3000,1.0244027870641772,5.336195300000327,5.364230600000155
5,3000,1.037820056660787,5.274897999999666,5.301734700000452
6,3000,1.0485618782202815,6.503350599999976,6.528700999999273
7,3000,1.0377525834138064,6.802518399999826,6.825707899999543
8,3000,1.0351686165366012,5.250499799998579,5.273734299998978
9,3000,1.0457126456311858,5.134654400000727,5.1611865000013495
10,3000,1.0691199929327262,6.477662400000554,6.507398400000966
11,3000,1.0650652354837662,6.300377100000333,6.325209099999483
12,3000,1.032146667839209,5.397372800000085,5.4238273999999365
13,3000,1.0533172917270732,5.375541299999895,5.410108300000502
14,3000,1.0355804267751179,5.426392200000919,5.455074299999978
15,3000,1.04819992098138,5.467576200000622,5.493459799999982
16,3000,1.0671889105369683,5.243714300000647,5.27237520000017
17,3000,1.0232840605001208,5.178449200000614,5.2060627000009845
18,3000,1.0321786381992721,5.474918899999466,5.503914200000509
19,3000,1.0194332066861915,5.391572700000324,5.417287599999327
20,3000,1.0495420257764596,5.35808200000065,5.389480499999991
21,3000,1.0353490428246552,5.577593399999387,5.633802599999399
1,4000,1.0491785809896426,5.281977299999198,5.32096459999957
2,4000,1.0376418520661952,5.297571600000083,5.330553600000712
3,4000,1.0410734519222569,5.307451300001048,5.3424056000003475
4,4000,1.0192095569742934,5.649876800000129,5.6887762999995175
5,4000,1.0363456134140858,5.6555751000014425,5.687461500001518
6,4000,1.016975669422577,5.304064799998741,5.337501899999552
7,4000,1.0235739882866677,5.276347900000474,5.313279900001362
8,4000,1.0163630030180713,6.245429500000682,6.301958800000648
9,4000,1.0311698174526611,5.428273499999705,5.46812030000001
10,4000,1.0357200584198814,6.193554100000256,6.2236896000013076
11,4000,1.0343831345651195,5.201302299999952,5.234952999999223
12,4000,1.0378360036196976,5.279627199999595,5.313520899999276
13,4000,1.0334550031424186,5.345957699999417,5.400754300000699
14,4000,1.0489601002790157,5.251850999999078,5.284249799999088
15,4000,1.0355822808757975,5.41495169999871,5.449333399999887
16,4000,1.020529849010316,5.810543100000359,5.851418100000956
17,4000,1.0336555301037151,5.439973699998518,5.47515679999924
18,4000,1.0324498357871337,6.240695200000118,6.294732199999999
19,4000,1.0415028330591256,5.855210300000181,5.889088100000663
20,4000,1.033007671808462,7.181026500000371,7.2264110000014625
21,4000,1.047146986656255,6.598740600000383,6.632136300000639
1,5000,1.018078496665218,5.75203110000075,5.7952502999996796
2,5000,1.0320869890592024,5.549799099999291,5.5885517000006075
3,5000,1.0247324534522362,5.3359559000000445,5.372631599999295
4,5000,1.0326295955502245,5.4956810000003316,5.541018100000656
5,5000,1.034393624655004,5.394435000000158,5.433942300000126
6,5000,1.014813924889253,5.47376020000047,5.5383909000011045
7,5000,1.0201163457116464,5.193469699999696,5.235120399998777
8,5000,1.0249550944057713,7.193297699999675,7.236346699999558
9,5000,1.016486567962905,7.082155500000226,7.126558100000693
10,5000,1.012958527233734,6.104659399999946,6.1607029999995575
11,5000,1.0220236519408694,5.196733099999619,5.237647500000094
12,5000,1.0235128386534438,5.266566000000239,5.308763099999851
13,5000,1.0185929768470372,6.2988176999988355,6.364595699998972
14,5000,1.0255061160477261,6.103760599999077,6.1572144999991
15,5000,1.0269685181665174,5.679488199999469,5.732605999999578
16,5000,1.02025726840589,5.431594599998789,5.474634700000024
17,5000,1.0218375005850637,5.2742800999985775,5.316193900000144
18,5000,1.01772863398508,5.579217700000299,5.627840699999069
19,5000,1.016150959451755,5.340808700000707,5.411066700000447
20,5000,1.0213458323402178,6.494095899999593,6.53497040000002
21,5000,1.0175329977503687,6.901385799999844,6.9373161000003165
1,6000,1.0109297355064835,5.299100400001407,5.351666100001239
2,6000,1.0117063259597114,5.566021499998897,5.614009499999156
3,6000,1.0206899324211696,5.429458499998873,5.474632099998416
4,6000,1.0177296925975003,6.489842299999509,6.53534639999998
5,6000,1.0137024310661926,6.563738900000317,6.612307000001238
6,6000,1.0277626023531639,5.093652399998973,5.1478642000001855
7,6000,1.0222380885690765,5.8913658000001305,5.952886500001114
8,6000,1.0114986374371073,5.334361700000954,5.377321500000107
9,6000,1.0258464261285865,5.883900500000891,5.958117399999537
10,6000,1.0130475067594908,6.195009299999583,6.23576839999987
11,6000,1.0198740431540807,5.283703500001138,5.327084700000341
12,6000,1.0243314213842911,5.346413000001121,5.39738589999979
13,6000,1.0140455044966268,6.905317599999762,6.967935700000453
14,6000,1.0200329770422367,6.882435200001055,6.940326800000548
15,6000,1.017125218382881,5.426059900000837,5.4927131999993435
16,6000,1.012528441424155,5.630110299998705,5.669944499999474
17,6000,1.0239323989508526,5.326350599998477,5.370430099999794
18,6000,1.0141776394136124,5.430635400000028,5.473390999999538
19,6000,1.0209823611326003,6.101052699999855,6.142921799999385
20,6000,1.0232595952948005,5.9588727000009385,6.026234100001602
21,6000,1.0194233532916932,5.3577439000000595,5.408720199999152
1,7000,1.0195959384583095,5.839661099998921,5.896011599999838
2,7000,1.014308915858728,6.076092799999969,6.127018700000917
3,7000,1.0170956519193814,5.974175700001069,6.036298799999713
