run,size,ratio,sampling_time_s,total_time_s
1,100,1.0000017781418444,0.4423963000008371,0.4502968000015244
2,100,1.0000000091403238,0.14005449999967823,0.14383559999987483
3,100,1.0000010292944406,0.13938560000315192,0.14700470000025234
4,100,1.0000048760249571,0.13971999999921536,0.15036250000048312
5,100,1.000001065694899,0.13943450000078883,0.14929980000306387
6,100,1.0000004682893997,0.13946519999808515,0.1473017999996955
7,100,1.000000024235528,0.13589330000104383,0.14305220000096597
8,100,1.0000002427705954,0.13606119999894872,0.1448829000000842
9,100,1.000000115838649,0.13588130000061938,0.14411339999787742
10,100,1.0000009381005066,0.13982709999982035,0.14315279999937047
11,100,1.0000010766807086,0.13879069999893545,0.1461845000012545
12,100,1.0018994634999376,0.13546240000141552,0.14197229999990668
13,100,1.0000038845341481,0.13952380000046105,0.14754770000217832
14,100,1.0000002190679824,0.1433411999969394,0.14982989999771235
15,100,1.0000000341744932,0.14262199999939185,0.145533399998385
16,100,1.000000364599685,0.1416200999992725,0.1478644999988319
17,100,1.0000009364549483,0.13680419999946025,0.14384069999869098
18,100,1.0000000591256049,0.1427220000005036,0.14887169999929029
19,100,1.0000000326693455,0.14285960000052,0.15226459999757935
20,100,1.0000000047046849,0.13874439999926835,0.14631070000177715
21,100,1.0000001602648654,0.14012000000002445,0.1466063000007125
1,200,1.0000001828516571,0.13845380000202567,0.14665790000071866
2,200,1.000000176294552,0.13928540000051726,0.1481839999978547
3,200,1.0000000509825455,0.13547019999896293,0.14000869999654242
4,200,1.000000790032801,0.13920900000084657,0.1429744999986724
5,200,1.0000000788209373,0.13806269999986398,0.14671660000021802
6,200,1.0000000175235697,0.13514049999866984,0.14007349999883445
7,200,1.0000001099304563,0.13634210000236635,0.14248010000301292
8,200,1.0000002360274658,0.1358875000005355,0.14492059999975027
9,200,1.0000000241467337,0.13900189999912982,0.14652049999858718
10,200,1.0000001054589025,0.13528389999919455,0.1385902999973041
11,200,1.000000096737135,0.1382353000008152,0.14187260000107926
