run,size,ratio,sampling_time_s,total_time_s
1,500,5648.716627842461,4.890921400001389,5.757179600001109
2,500,266.19288264526847,4.624704199999542,4.642250000000786
3,500,235.89836066576515,4.677835099999356,4.692709999999352
4,500,460.907782293337,4.847479000000021,4.879406600000948
5,500,6.740487900963401,4.404924600003142,5.046805300000415
6,500,333.08404623688654,6.195818000000145,6.2258432999988145
7,500,12.635814916289798,5.288465699999506,7.233319599999959
8,500,255.117519051007,5.128614199998992,5.1523930999974255
9,500,1634.2038951420766,4.681910499999503,4.709164500000043
10,500,95.88688020479307,5.813613199999963,5.825896099999227
11,500,218.27398567060342,5.966544899998553,6.002474599998095
12,500,597.1937323143499,4.892488299999968,4.920249800001329
13,500,328.8088398395327,4.619952099998045,4.637658100000408
14,500,158.70748888148276,4.324369900001329,9.342733600002248
15,500,127.43463131233486,4.736005800001294,4.756081200001063
16,500,185592.57584396374,4.590127800001937,6.316582800001925
17,500,3.4818909643225178,4.956035999999585,5.3601061000008485
18,500,286.4355120978994,5.909680800003116,5.926658600001247
19,500,174.07954886234305,5.343637699999817,5.358102999998664
20,500,1614.2258271980972,5.235588299998199,5.269486599998345
21,500,24.467163226357197,4.530084300000453,6.431896999998571
1,1000,1.7319465793423865,4.999449899998581,5.89807060000021
2,1000,1.46856869150057,4.835766000000149,5.238640499999747
3,1000,1.716404775390006,5.681110899997293,5.870140600000013
4,1000,1.3770977256018464,5.085868000001938,5.600607700002001
5,1000,1.7830611418343782,5.079984999996668,5.357434999998077
6,1000,1.7025253034966699,4.674029099998734,5.158973999998125
7,1000,2.4048927799567172,4.777196300001378,5.6193278999999166
8,1000,1.4959987877352912,6.044213500001206,6.5302407999988645
9,1000,1.5325064889865103,5.980285199999344,6.54314869999871
10,1000,1.6963989669327602,4.7708547000002,5.695649799999956
11,1000,1.5873440782776793,4.82260099999985,5.062491900000168
12,1000,1.8561835245434049,4.568293800002721,5.286452100001043
13,1000,1.8192826592136178,5.05547839999781,5.346915699999954
14,1000,1.7046617514991222,5.065308500001265,5.585615699998016
15,1000,1.5658058149899625,4.6215765999986615,5.136359000000084
16,1000,1.506642837847605,4.927437299997109,5.417758999999933
17,1000,1.771815063700077,4.54553080000187,4.944926500000292
18,1000,1.7391758870771414,4.761396800000512,5.520756300000357
19,1000,1.6473056439056524,5.094437799998559,5.344476700000087
20,1000,1.5418052596769005,4.946926299999177,5.479397399998561
21,1000,1.5546608662370585,4.736862099998689,5.532733299998654
1,1500,1.2509739256856247,4.939190299999609,5.2574620000013965
2,1500,1.3263924321192657,4.825684100000217,5.385544900000241
3,1500,1.343921753090779,4.831997500001307,5.524734599999647
4,1500,1.2900862783347429,5.669223699998838,6.264622700000473
5,1500,1.2445665771269359,4.8402602999995,5.335492800000793
6,1500,1.3210250604802547,5.337684800000716,5.927248399999371
7,1500,1.417064891491897,5.129907800001092,5.882637700000487
8,1500,1.1847784524508589,5.15726160000122,5.476622199999838
9,1500,1.2190009884346749,5.2357637000022805,5.692322700000659
10,1500,1.2937947760025863,5.217304999998305,5.638481999998476
11,1500,1.3186926247989006,4.987030299998878,5.54011779999928
12,1500,1.2718386324578494,4.733013099998061,5.046890699999494
13,1500,1.3589602664983877,5.158501499998238,6.321853199999168
14,1500,1.1778323193515714,4.680539200002386,5.005366200002754
15,1500,1.2173044989617516,4.6915689000015846,4.9749596000001475
16,1500,1.3528597577013812,5.589677200001461,6.3750605000022915
17,1500,1.493262502336563,4.340029499999218,5.545528499998909
18,1500,1.3738404591696252,5.846998400000302,6.461352899998019
19,1500,1.3642613788767421,5.104831300002843,5.357192900002701
20,1500,1.372006457356422,5.341205500000797,6.184266899999784
21,1500,1.2464808253658712,4.633368300001166,5.175310800001171
1,2000,1.2388787139070245,4.817141600000468,5.36325289999877
2,2000,1.1858982363372241,4.912741299998743,5.642681299999822
3,2000,1.1786409452329185,5.057054300003074,5.595599400003266
4,2000,1.1502400468395813,4.595907599999919,5.5443516000013915
5,2000,1.1648517737531483,5.118865399999777,5.538746400001401
6,2000,1.1269074891175392,4.775012699999934,5.4505907999991905
7,2000,1.1780135537910623,4.603284200002236,4.902750500001275
8,2000,1.1038154574241341,4.922019499997987,5.310880299999553
9,2000,1.1305215011767722,5.429060399997979,6.150148400000035
10,2000,1.1885543626456145,5.434326400001737,5.916310800002975
11,2000,1.1678639725954225,5.1119958000017505,5.8832452000024205
12,2000,1.2025307536735748,4.798397500002466,5.3896105000021635
13,2000,1.1696231208503818,4.951673600000504,5.313903999998729
14,2000,1.240985142954848,5.142647399999987,5.578900000000431
15,2000,1.1480553117507941,5.0837774999999965,5.7684101999984705
16,2000,1.1969599321757267,5.281141199997364,6.1688876999978675
17,2000,1.2261172710754085,5.259137299999566,6.072489900001528
18,2000,1.1887587026176083,5.227742999999464,5.631738600000972
19,2000,1.12921249217586,4.807241400001658,5.146120299999893
20,2000,1.1532750508971599,4.903086799997254,5.578596100000141
21,2000,1.1870381328439095,4.817023999999947,5.213362500002404
1,2500,1.1295232971661389,4.685428500000853,5.464402400000836
2,2500,1.1568096043692586,4.488966799999616,5.2336026999983005
3,2500,1.091228732827736,4.8944096000013815,5.439536300000327
4,2500,1.2014888611473902,4.891623899999104,5.581263700001728
5,2500,1.369114233968247,5.217970900001092,6.305024699999194
6,2500,1.1195450504803495,5.5819096000013815,6.0549600000013015
7,2500,1.16371071200646,5.443999099999928,6.075461100001121
8,2500,1.1311624221601144,4.912810100002389,6.054136200000357
9,2500,1.1226040558018981,5.00543149999794,5.5563683999971545
10,2500,1.113321857714074,5.161617899997509,5.704063799999858
11,2500,1.1422700681870757,5.029281600000104,5.685391799997888
12,2500,1.0946413640325492,5.007628399998794,5.870885600001202
13,2500,1.1498840470441265,4.752517699998862,5.7108186000004935
14,2500,1.1518726121319225,4.660565599999245,5.6740621000026294
15,2500,1.1216919094898952,5.259018199998536,5.721691099999589
16,2500,1.1109914799567948,4.978667700001097,5.471173000001727
17,2500,1.1140108288766255,4.988648899998225,5.417774800000188
18,2500,1.1097130946192266,5.695922099999734,6.8333210999990115
19,2500,1.1586904928358095,5.359263900001679,7.523146100000304
20,2500,1.1045819276787936,5.247545099999115,6.208461300000636
21,2500,1.147338670175164,5.416999199998827,6.033310599999822
1,3000,1.0852906988801667,5.204613699999754,6.109878200000821
2,3000,1.09729231011886,5.160411299999396,6.354142799998954
3,3000,1.1086391141533947,5.064790299999004,5.586529700001847
4,3000,1.149366776215785,5.120811500000855,6.417863300001045
5,3000,1.1052060437774682,4.907664199999999,6.12977310000133
6,3000,1.1321977942068169,5.143435800000589,5.83267689999775
