run,size,ratio,sampling_time_s,total_time_s
1,500,762.2503440493608,4.914656799999648,4.964042999999947
2,500,435.34316092366277,5.644129199999952,5.670566699999654
3,500,470.51268006552914,4.811988500000098,4.8402406000000155
4,500,7196.876627150218,4.930167399999846,9.250293299999612
5,500,1807.750508762496,5.541921600000023,5.612746699999661
6,500,238.27794375264585,5.363538500000232,5.389760900000056
7,500,6.038419199688199,5.572791999999936,5.750937099999646
8,500,769.5285699163142,4.921424600000137,4.942408299999897
9,500,858.6135787685038,4.660101599999962,4.692636199999924
10,500,1759.3169627545415,4.410642099999677,4.47887049999963
11,500,443.5480099839731,5.030912700000044,5.061810499999865
12,500,822.9593926776986,4.9822220999999445,5.013798299999962
13,500,2356.58454507288,4.9549106999998,5.011766499999794
14,500,683.7964544915485,4.950639199999841,4.9888842999998815
15,500,739.4860303938375,4.711994100000084,4.742631400000391
16,500,1446.7423701892194,5.075382999999874,5.164882300000045
17,500,371.76347534082976,5.338294399999995,5.37945529999979
18,500,8.598538248537139,4.731058700000176,4.989086800000223
19,500,462.511264293879,5.201217499999984,5.2225908999998865
20,500,378.7365380581941,5.518607500000144,5.553180899999916
21,500,5.943408814987389,4.884993900000154,5.0601918000002115
1,1000,1.5455618052912297,4.464416799999981,4.523467100000289
2,1000,1.4703418825547916,4.673787299999731,4.720764400000007
3,1000,2.188696597482972,6.052905099999862,6.212404699999752
4,1000,1.7570108075328472,4.733868399999665,4.804159599999821
5,1000,1.6697333840256898,5.421578299999965,5.528983200000312
6,1000,1.464784889788992,5.080907099999877,5.143713299999945
7,1000,2.113012402736211,5.738106700000117,5.86774400000013
8,1000,1.6108710021110622,5.70658689999982,5.777843999999732
9,1000,1.693100511087474,4.645333899999969,4.705469500000163
10,1000,1.6857710771774772,4.750491499999953,4.830383099999835
11,1000,1.8829784226199013,5.125241000000187,5.181642800000191
12,1000,1.7448549123347776,4.969634699999915,5.01856269999962
13,1000,1.55972054659191,4.5610608000001776,4.6132580000003145
14,1000,1.7366718761917441,4.497346199999811,4.571047699999781
15,1000,1.6186609948447752,4.742306599999665,4.818131099999846
16,1000,1.6472897525742187,4.539370299999973,4.592646099999911
17,1000,1.9237920510005206,4.5049386999999115,4.612563799999862
18,1000,1.673612723138335,4.6063044000002265,4.675804900000003
19,1000,1.4221880656828734,4.320762400000149,4.372529400000076
20,1000,1.5230094589838126,4.531979500000034,4.613739600000372
21,1000,1.5896160320751573,4.826622699999916,4.874065900000005
1,1500,1.2840030986927644,4.96957169999996,5.043955800000276
2,1500,1.2724463127229166,5.196729599999799,5.260865700000068
3,1500,1.3503351712901912,4.554499200000009,4.614135299999816
4,1500,1.3324087290475428,4.547391900000093,4.606180199999926
5,1500,1.3576581888839139,5.12653279999995,5.193851099999847
6,1500,1.3692550773239274,5.363959100000102,5.45244619999994
7,1500,1.2861884132605537,4.259138700000221,4.317501500000162
8,1500,1.3312252978641002,4.413147600000229,4.4682485000003
9,1500,1.4006189248779344,5.25426809999999,5.3174402999998165
10,1500,1.266599729186998,5.355089600000156,5.403228900000158
11,1500,1.2638908217790579,5.018461699999989,5.096568300000399
12,1500,1.2516222685361609,4.699531800000386,4.763115700000071
13,1500,1.3871208076150445,5.05969929999992,5.119887199999994
14,1500,1.2935118639178962,4.706132499999967,4.791611199999807
15,1500,1.3081532411051644,4.999747200000002,5.054985599999782
16,1500,1.4804406665610645,4.983603399999993,5.090503200000057
17,1500,1.2668508284372186,4.661734400000114,4.745825200000127
18,1500,1.2985442284916933,4.354156400000193,4.453013300000293
19,1500,1.3460508158692397,4.602760199999921,4.6662068999999065
20,1500,1.3154918079290607,4.8328002000002925,4.956394499999988
21,1500,1.22892655109203,4.695705399999952,4.746544199999789
1,2000,1.1819063986549174,5.179436500000065,5.229832499999702
2,2000,1.14901725605104,5.298425899999984,5.421241399999872
3,2000,1.229473752199936,4.759566100000029,4.832837099999779
4,2000,1.1594120727257777,4.575723099999777,4.660540200000014
5,2000,1.1301506414163467,4.4690630999998575,4.519804799999747
6,2000,1.1974685873178765,4.876859700000296,4.956091000000015
7,2000,1.1995333554396295,4.551349399999708,4.635159399999793
8,2000,1.1881409877462001,4.58708549999983,4.71393820000003
9,2000,1.1409888451742618,4.436873999999989,4.4901598999999806
10,2000,1.1572100140656285,5.459199000000353,5.532369400000334
11,2000,1.2872892629114103,4.605488699999569,4.676516899999569
12,2000,1.1690653163402418,5.368953400000009,5.458591600000091
13,2000,1.2003039999393392,4.675066799999968,4.7378600000001825
14,2000,1.2049307789849883,4.76355010000043,4.8522916000001715
15,2000,1.167802703074061,4.591371699999854,4.695678699999917
16,2000,1.174723001552489,5.280244799999764,5.367483099999845
17,2000,1.2108927219233379,4.680196000000251,4.752208200000041
18,2000,1.2055601462025496,5.219342599999891,5.270139400000062
19,2000,1.197495381282375,4.873485999999957,4.945278099999996
20,2000,1.3627031633835283,4.79252039999983,4.918154399999821
21,2000,1.2359525972547603,5.00587059999998,5.076169599999957
1,2500,1.2329912414457778,4.9335887000002,5.084574800000155
2,2500,1.132335657444147,4.817207399999916,4.905593899999985
3,2500,1.1297938102552987,5.219663200000014,5.294588400000066
4,2500,1.1400040591731635,4.734571700000288,4.9043641000002935
5,2500,1.154909407812274,5.839779200000066,5.935109199999715
6,2500,1.150986915755304,4.600288500000261,4.6920860999998695
7,2500,1.167896489869778,5.250748299999941,5.32543940000005
8,2500,1.114443223245968,4.336343899999974,4.396081800000047
9,2500,1.1444281973066226,5.032590299999811,5.097097899999881
10,2500,1.127751454546173,4.941642099999626,4.99678270000004
11,2500,1.1229856216291145,4.998685000000023,5.075170999999955
