run,size,ratio,sampling_time_s,total_time_s
1,500,74.00094099767851,0.6082839000009699,0.856195000000298
2,500,76.96078411101637,0.636172099999385,0.8698079999994661
3,500,39.35667098057168,0.6139975000005506,0.8456086999976833
4,500,123.15371971737203,0.6310284999999567,0.8575349999991886
5,500,60.08487401080121,0.4827222999992955,0.4942233000001579
6,500,189.08147239927845,0.48338909999802127,0.5023110000001907
7,500,68.03425685982761,0.45515440000235685,0.48955389999900945
8,500,111.33814467266617,0.44945589999770164,0.4732315000001108
9,500,268.80129654750823,0.47062780000123894,0.49040620000232593
10,500,63.815466957037884,0.4809711999987485,0.4977489999982936
11,500,82.17601401120761,0.4697207999997772,0.4815435999989859
12,500,138.17195538948152,0.48446469999908004,0.5137579000002006
13,500,74.3017477233257,0.3707701999992423,0.3803843000023335
14,500,79.82553101589583,0.44019699999989825,0.45385399999941
15,500,73.57549745846816,0.4527277999986836,0.4759892000001855
16,500,63.28796803302344,0.4511702999989211,0.4909332999995968
17,500,164.66697938456124,0.3355228999971587,0.35116999999809195
18,500,101.5780992924313,0.4007988999983354,0.4287299999996321
19,500,60.120649077538864,0.40810590000182856,0.4221462999994401
20,500,53.85562023032529,0.38936000000103377,0.3999251999994158
21,500,108.42632844820032,0.36719779999839375,0.3800517999989097
1,1000,3.5827211905994982,0.39263340000252356,1.719994900002348
2,1000,4.6523735800425525,0.408287799997197,1.7738197999969998
3,1000,3.2983987136096853,0.4092683999988367,1.5894018999970285
4,1000,8.215936835283538,0.232845599999564,3.7980104999987816
5,1000,4.133766855575489,0.4678526999996393,1.1145863000019745
6,1000,4.489562479830143,0.42947450000065146,2.1361386999997194
7,1000,3.5640194442590145,0.40684740000142483,1.5680414000016754
8,1000,10.950728375805168,0.4073680000001332,2.6140457000001334
9,1000,2.806251115738335,0.3926272999997309,2.21413400000165
10,1000,3.457072222869951,0.3875616000004811,1.9566411999985576
11,1000,4.3372508460264685,0.388044200000877,3.226970200001233
12,1000,3.0186324677531973,0.32752430000255117,1.526422500002809
13,1000,23.98460452928928,0.2737942000021576,3.30706420000206
14,1000,2.6861237767182646,0.2971934000015608,2.0186390000017127
15,1000,10.59743600508907,0.432585200000176,2.795222400000057
16,1000,3.349626990069372,0.42242199999964214,2.283719699997164
17,1000,2.7483671911380947,0.4086963999980071,1.1124190000009548
18,1000,5.235861829094779,0.4142750999999407,3.6967901999996684
19,1000,2.6659179749317885,0.24302259999967646,1.1148846999967645
20,1000,5.645742009314698,0.30267499999899883,1.5425629000019399
21,1000,7.532485323879924,0.38414230000125826,2.7992259000020567
1,1500,1.9246593778122376,0.4223695999971824,1.3080419999969308
2,1500,1.7294027019444425,0.3991673999989871,1.2890459000009287
3,1500,1.6064802900828234,0.4494546999994782,1.2327344000004814
4,1500,1.6903762277496213,0.4012409999995725,1.6099440999969374
5,1500,1.7890408760932552,0.3987697000011394,1.2073880999996618
6,1500,1.5495690391856898,0.37310880000222824,1.1065568000012718
7,1500,3.259052312711509,0.3568823000023258,3.395653899999161
8,1500,2.1485268343519137,0.42556470000272384,1.6995945000016945
9,1500,1.355565216513642,0.4128941000017221,1.3965269000000262
10,1500,1.9832800308146505,0.2613960999988194,3.241831799998181
11,1500,1.7503924954974106,0.36460550000265357,2.327872699999716
12,1500,1.6662175890785564,0.3577030000014929,2.0510869000027014
13,1500,2.4447790922849646,0.43026020000252174,3.53038110000125
14,1500,1.9098182454480885,0.4209067000010691,1.9949532999999064
15,1500,2.4267729485316916,0.36572769999838783,2.028703599997243
16,1500,1.4071065193646277,0.37678149999919697,1.706769099997473
17,1500,1.5004221923113428,0.3862494000022707,1.0551628000030178
18,1500,1.7722762025883199,0.3235793999992893,1.4386603999992076
19,1500,1.851554737338432,0.42264540000178386,1.2863294999988284
20,1500,2.1006757282701347,0.3809002000016335,2.5586008000027505
21,1500,1.504270427463591,0.42272460000094725,1.2790623000000778
1,2000,1.832536780444058,0.4701675999967847,2.957422100000258
2,2000,1.4596851829078652,0.46726139999736915,2.3094117999971786
3,2000,1.2709238847919802,0.3723953000007896,1.3558151000033831
4,2000,1.7258673443489103,0.4235426999985066,1.804235299998254
5,2000,1.2687549568861052,0.4709322999988217,1.1567342999987886
6,2000,1.4502846677880845,0.4632816000012099,2.4590838000003714
7,2000,1.8269768349644235,0.3702774000012141,1.9158533000008902
8,2000,1.2881235766551742,0.39404450000074576,1.0380045999991125
9,2000,1.8059325010619216,0.5145990999990318,1.4684063999993668
10,2000,1.4773669797358078,0.427418300001591,1.1409044000029098
11,2000,2.0706672777038344,0.3814429000012751,1.949792300001718
12,2000,1.3247309255335478,0.37599279999994906,1.0553967000014381
13,2000,1.3609913637627447,0.3484455999969214,0.8982498000004853
14,2000,1.5088456680339524,0.40478969999821857,1.6803295999998227
15,2000,1.5339865427244013,0.43084250000174507,1.7393148000010115
16,2000,1.5620170781292462,0.42900980000194977,1.8801022000006924
17,2000,1.4754894647491377,0.5075485999986995,2.049791400000686
18,2000,1.4320768401499326,0.508543699997972,2.6622960999993666
19,2000,1.4272215427104593,0.4821838000025309,1.6380683000024874
20,2000,1.3197921854997394,0.4256983000013861,1.87468219999937
21,2000,1.3743185087352408,0.46353480000107083,2.108678599997802
1,2500,1.3560045466978339,0.4289850999994087,2.684018100000685
2,2500,1.2407855443920353,0.44864720000259695,2.1411263000009058
3,2500,3.34004202794576,0.3874897999994573,3.340199300000677
4,2500,1.3725609546932243,0.46138780000183033,3.0576783000033174
5,2500,1.362643323667396,0.36141180000049644,2.363811400002305
6,2500,1.2294421871191321,0.5081218000013905,1.8051121999997122
7,2500,1.3871695027822888,0.46968199999901117,3.6969755999998597
8,2500,1.4164331537273245,0.36370590000296943,2.4422802000008232
9,2500,1.6708227831824307,0.3887926999996125,1.9135538000009547
10,2500,2.0899203397969677,0.3871517000006861,2.469595800001116
11,2500,1.3342713164293951,0.4782042000006186,1.6160396999985096
12,2500,1.3044238202505987,0.4522638000016741,2.2941890000001877
13,2500,1.3719392406168434,0.3103335999985575,1.507192600001872
14,2500,1.372101379221474,0.3243877999993856,1.697182399999292
15,2500,1.2342390347246626,0.42392910000125994,2.028135900000052
16,2500,1.4461167983954166,0.4025815999993938,1.6592734000005294
17,2500,1.3820213579430551,0.407861600000615,1.7199217000015778
18,2500,1.1657367930605622,0.40808329999708803,1.399290999997902
19,2500,1.6407253996925457,0.42975899999873945,3.172138099998847
20,2500,1.3596984857979373,0.42115799999737646,1.6764492000002065
21,2500,1.2667895536258365,0.41587670000080834,1.9901763000016217
1,3000,1.14876025743812,0.37450299999909475,1.7662729999974545
2,3000,1.1714455899148908,0.34579020000091987,1.2835358000011183
3,3000,1.5939736301328795,0.4274003000027733,5.192259000003105
4,3000,1.1841871202766228,0.39212490000136313,1.9048976000012772
5,3000,1.186582371853485,0.35481029999937164,1.2683556000010867
6,3000,1.2103628882096371,0.3835889000001771,3.397123200000351
7,3000,1.4195336763506003,0.5024339999981748,5.73565619999863
8,3000,1.2720751093856857,0.4257513000011386,2.10181620000003
9,3000,1.220263648843268,0.3721951000006811,2.508423600000242
10,3000,1.7092731073142886,0.44161829999939073,2.689726699998573
11,3000,1.2578111496833042,0.404414500000712,2.125552900000912
12,3000,1.3490991758367483,0.40860149999934947,2.4216220999987854
13,3000,1.2190590199383844,0.38179369999852497,3.864966599998297
14,3000,2.723852995502059,0.3709967999966466,4.387022999999317
15,3000,1.3974597596174478,0.36140549999981886,2.4550673000012466
16,3000,1.219545398687803,0.4185094000022218,3.3173655999999028
17,3000,1.2862846723575037,0.4235512999985076,2.4348537999976543
18,3000,1.263763217352881,0.5002219999987574,3.283510799999931
19,3000,1.4542786924305457,0.48303309999755584,2.313266499997553
20,3000,1.1442690089205345,0.4197557000006782,2.2994169000012334
21,3000,1.2390643305633737,0.42261819999839645,2.2555925999986357
1,3500,1.2041460665424186,0.5083040999998047,2.278021099999023
2,3500,1.1722826829976565,0.49121240000022226,1.954045499998756
3,3500,1.2078799041111519,0.3744415000001027,1.6638089999978547
4,3500,1.2200692191409714,0.4707071000011638,3.333110999999917
5,3500,1.96652612816853,0.3552281000011135,5.600181699999666
6,3500,1.2256786771395392,0.3413895000012417,2.8471425000025192
7,3500,2.061121829545423,0.3907837999977346,2.618357899998955
8,3500,1.2502792114388732,0.44508249999853433,1.7359655000000203
9,3500,1.2157492708748863,0.42151940000258037,2.1417678000034357
10,3500,1.159919902584703,0.41593709999870043,3.216119799999433
11,3500,1.2911583430775386,0.49286449999999604,3.7083296999990125
12,3500,1.239714425891513,0.5065061999994214,1.5009274000003643
13,3500,1.1751519325115358,0.5216729999992822,1.8372171000009985
14,3500,1.163847014836617,0.4558623999982956,1.8273023000001558
15,3500,1.197785676654302,0.4211423000015202,2.3636274000018602
16,3500,1.158925534335787,0.3871854999997595,2.7482264999998733
17,3500,1.226884920587322,0.4079226000030758,1.7913393000017095
18,3500,1.1405161388952914,0.38386520000130986,3.9362763999997696
19,3500,1.1802455188599135,0.419839399997727,2.531247099999746
20,3500,1.1755268522443292,0.40300460000071325,2.28956300000209
21,3500,1.1498702467684643,0.39228839999850607,2.376633899999433
1,4000,1.2009785064320082,0.43065060000299127,2.341086300002644
2,4000,1.4418458253590858,0.44873789999837754,6.273107599998184
3,4000,1.1904472011659162,0.4171003000010387,2.5723923000005016
4,4000,1.1857622399807495,0.3153526000023703,2.357413200003066
5,4000,1.1940666191922036,0.39182289999735076,3.5641813000002003
6,4000,1.2198280288066634,0.3734204000029422,2.5476132000003417
7,4000,1.1064886128639988,0.5161932999981218,2.3877370999980485
8,4000,1.2938794881955262,0.4663409999993746,6.55496139999741
9,4000,1.1729642179471509,0.4644483999982185,2.0284286999994947
10,4000,1.1216670376089395,0.416378199999599,1.9843326000009256
11,4000,1.1670660011889986,0.4245327000026009,2.457082300003094
12,4000,1.1324423149943097,0.4332283000003372,3.339460200000758
13,4000,1.3303870497086763,0.3983966000014334,3.3472387000001618
14,4000,1.192245387984294,0.47818589999951655,2.3342512999988685
15,4000,1.1768620347022576,0.4649408000004769,3.0854495000021416
16,4000,1.1985503429553628,0.4226892999977281,2.2477714999986347
17,4000,1.2089100647581617,0.407688600000256,1.3886573999989196
18,4000,1.1868523596585632,0.39493819999916013,1.760813799999596
19,4000,1.2220910697178786,0.36792609999974957,2.8355884999982663
20,4000,1.1407409457272062,0.4514220999990357,3.215388599997823
21,4000,1.1876836568804525,0.45310539999991306,2.8860558999986097
1,4500,1.140371201232209,0.4914266999985557,1.4525214999994205
2,4500,1.227287373417301,0.3744729999998526,3.1001730999996653
3,4500,1.1413378926960647,0.4022788000002038,2.5291075999994064
4,4500,1.1155407454947093,0.39769410000008065,2.9016850000007253
5,4500,1.1147376046185848,0.41408400000000256,3.7705658999984735
6,4500,1.137944873440723,0.36281020000024,2.2522772000011173
7,4500,1.1907543929229507,0.31284969999978784,2.1330076999984158
8,4500,1.9689700688125302,0.5929652999984683,2.1915829999998095
9,4500,1.6070056641155324,0.5094539999990957,2.5129147000006924
10,4500,1.4198516894103839,0.45597840000118595,4.059075299999677
11,4500,1.1596650744576176,0.42157679999945685,2.666239800000767
12,4500,1.1422773010677214,0.4418121999988216,3.855155699999159
13,4500,1.2639247583735036,0.5114026000010199,2.3513125000026776
14,4500,1.1243228911562273,0.5120190999987244,2.750638900000922
15,4500,1.1500623094755804,0.38090620000002673,2.335629400000471
16,4500,1.1861914514894154,0.5032530999997107,4.725084099998639
17,4500,1.1350928435692085,0.49626960000023246,1.978076899998996
18,4500,1.201207676210166,0.5128909999984899,3.699810099999013
19,4500,1.2461686565758145,0.4806146999981138,6.4953446999970765
20,4500,1.3873671129479364,0.4683416000007128,2.442360600001848
21,4500,1.1440096449388433,0.43313929999931133,2.1619348000022
1,5000,1.3307399134539886,0.4141245999999228,2.5732066000018676
2,5000,1.087270741064846,0.3312646999984281,2.14484739999898
3,5000,1.334083687425746,0.38381330000265734,2.0442892000028223
4,5000,1.1545211018452957,0.6178042999999889,3.178841699998884
5,5000,1.1422125450407465,0.6090116999985185,3.115011500001856
6,5000,1.122923087725455,0.4047370999978739,3.4446796999982325
7,5000,1.1996637964203989,0.5029450000001816,4.524074000000837
8,5000,1.1712409625715277,0.5345885999995517,2.9312351999979
9,5000,1.2400466351687307,0.5292176000002655,3.9338306999998167
10,5000,1.2399284742587007,0.5102875000011409,3.123950100001821
11,5000,1.1014757492909732,0.5638835999998264,2.911803399998462
12,5000,1.1267303557534405,0.5229309000023932,4.123788900000363
13,5000,1.4007923460383485,0.33952789999966626,3.978294900000037
14,5000,1.1341969454050926,0.516333499999746,5.898558400000184
15,5000,1.1826063663181643,0.5183039999974426,3.993132899999182
16,5000,1.1289279871112765,0.5278304000021308,3.8281328000011854
17,5000,1.163620017177343,0.4796855999993568,4.074374600000738
18,5000,1.1646814780049453,0.40711580000061076,4.4943506000017805
19,5000,1.0807907265694243,0.4177815000002738,4.8416051999993215
20,5000,1.1635083920074756,0.5278268000001844,2.5896498000001884
21,5000,1.0920213663134903,0.5172433000007004,3.445429299998068
1,5500,1.1094297520751726,0.5013623000013467,2.557182600001397
2,5500,1.1502826719507677,0.406495499999437,5.190730199999962
3,5500,1.1084003207557216,0.43169599999964703,2.9344416999992973
4,5500,1.1719867364954453,0.4676800000015646,5.579089599999861
5,5500,1.3914022026146948,0.5345005000017409,2.453602300000057
6,5500,1.1031906157486024,0.5143127000010281,3.350918800002546
